month,column,effective_missing_n,effective_missing_rate
2010-07,market_distance,0,0.0
2010-07,FAO_price,0,0.0
2010-07,Rainf_f_tavg_mean,0,0.0
2010-07,Tair_f_tavg_mean,0,0.0
2010-07,gpp_mean,0,0.0
2010-07,sg_cec_5-15cm,0,0.0
2010-07,sg_cfvo_5-15cm,0,0.0
2010-07,sg_nitrogen_5-15cm,0,0.0
2010-07,sg_phh2o_5-15cm,0,0.0
2010-07,sg_soc_5-15cm,0,0.0
2010-07,market_access,0,0.0
2010-07,ruggedness,0,0.0
2010-07,slope,0,0.0
2010-07,CPI,0,0.0
2010-07,GDP,0,0.0
2010-07,CC,0,0.0
2010-07,gini,0,0.0
2010-07,WFP_Price,0,0.0
2010-07,WFP_Price_std,0,0.0
2010-07,fews_ipc,5,0.004807692307692308
2010-07,fews_ha,1031,0.9913461538461539
2010-07,fews_proj_near,1040,1.0
2010-07,fews_proj_near_ha,1040,1.0
2010-07,fews_proj_med,1040,1.0
2010-07,fews_proj_med_ha,1040,1.0
2010-07,pop,0,0.0
2010-07,fews_ipc_adjusted,5,0.004807692307692308
2010-07,fews_proj_med_adjusted,1040,1.0
2010-07,ISO3,0,0.0
2010-07,Food_CPI,0,0.0
2010-07,Food_food_inflation,0,0.0
2010-07,Tair_zscore,16,0.015384615384615385
2010-07,Rainf_zscore,16,0.015384615384615385
2010-07,fews_ipc_crisis,5,0.004807692307692308
2010-08,unit_name,0,0.0
2010-08,ADMIN0,0,0.0
2010-08,ADMIN1,0,0.0
2010-08,ADMIN2,0,0.0
2010-08,ADMIN3,0,0.0
2010-08,FEWSNET_admin_code,0,0.0
2010-08,ISO,0,0.0
2010-08,lat,0,0.0
2010-08,lon,0,0.0
2010-08,date,0,0.0
2010-08,month,0,0.0
2010-08,distance_to_nearest_acled,0,0.0
2010-08,event_count_battles,0,0.0
2010-08,event_count_explosions,0,0.0
2010-08,event_count_violence,0,0.0
2010-08,sum_fatalities_battles,0,0.0
2010-08,sum_fatalities_explosions,0,0.0
2010-08,sum_fatalities_violence,0,0.0
2010-08,event_count_battles_w5,0,0.0
2010-08,event_count_explosions_w5,0,0.0
2010-08,event_count_violence_w5,0,0.0
2010-08,sum_fatalities_battles_w5,0,0.0
2010-08,sum_fatalities_explosions_w5,0,0.0
2010-08,sum_fatalities_violence_w5,0,0.0
2010-08,event_count_battles_w10,0,0.0
2010-08,event_count_explosions_w10,0,0.0
2010-08,event_count_violence_w10,0,0.0
2010-08,sum_fatalities_battles_w10,0,0.0
2010-08,sum_fatalities_explosions_w10,0,0.0
2010-08,sum_fatalities_violence_w10,0,0.0
2010-08,AEZ_10000,0,0.0
2010-08,AEZ_12000,0,0.0
2010-08,AEZ_15000,0,0.0
2010-08,AEZ_17000,0,0.0
2010-08,AEZ_19000,0,0.0
2010-08,AEZ_25000,0,0.0
2010-08,AEZ_31000,0,0.0
2010-08,AEZ_32000,0,0.0
2010-08,AEZ_33000,0,0.0
2010-08,AEZ_34000,0,0.0
2010-08,AEZ_36000,0,0.0
2010-08,AEZ_38000,0,0.0
2010-08,AEZ_4000,0,0.0
2010-08,AEZ_40000,0,0.0
2010-08,AEZ_43000,0,0.0
2010-08,AEZ_7000,0,0.0
2010-08,AEZ_9000,0,0.0
2010-08,crop,0,0.0
2010-08,range,0,0.0
2010-08,distance_to_river,0,0.0
2010-08,nightlight,0,0.0
2010-08,nightlight_sd,0,0.0
2010-08,elevation,0,0.0
2010-08,EVI,0,0.0
2010-08,market_distance,0,0.0
2010-08,FAO_price,0,0.0
2010-08,Rainf_f_tavg_mean,0,0.0
2010-08,Tair_f_tavg_mean,0,0.0
2010-08,gpp_mean,0,0.0
2010-08,sg_cec_5-15cm,0,0.0
2010-08,sg_cfvo_5-15cm,0,0.0
2010-08,sg_nitrogen_5-15cm,0,0.0
2010-08,sg_phh2o_5-15cm,0,0.0
2010-08,sg_soc_5-15cm,0,0.0
2010-08,market_access,0,0.0
2010-08,ruggedness,0,0.0
2010-08,slope,0,0.0
2010-08,CPI,0,0.0
2010-08,GDP,0,0.0
2010-08,CC,0,0.0
2010-08,gini,0,0.0
2010-08,WFP_Price,0,0.0
2010-08,WFP_Price_std,0,0.0
2010-08,fews_ipc,1040,1.0
2010-08,fews_ha,1040,1.0
2010-08,fews_proj_near,1040,1.0
2010-08,fews_proj_near_ha,1040,1.0
2010-08,fews_proj_med,1040,1.0
2010-08,fews_proj_med_ha,1040,1.0
2010-08,pop,1040,1.0
2010-08,fews_ipc_adjusted,1040,1.0
2010-08,fews_proj_med_adjusted,1040,1.0
2010-08,ISO3,0,0.0
2010-08,Food_CPI,0,0.0
