scope,forecasting_horizon,model,recall,precision,threshold,average_precision
fs2,8-month horizon,pooled,0.5202442512927715,0.7547486033519553,0.51,0.7260345431968606
fs2,8-month horizon,pooled,0.5091319177027176,0.7614150555327026,0.52,0.7260345431968606
fs2,8-month horizon,pooled,0.49625921443503135,0.7673528411024158,0.53,0.7260345431968606
fs2,8-month horizon,pooled,0.4848718230828474,0.7749252681554423,0.54,0.7260345431968606
fs2,8-month horizon,pooled,0.47243921223456925,0.7817933545744197,0.55,0.7260345431968606
fs2,8-month horizon,pooled,0.46083177467268127,0.7876081233546446,0.56,0.7260345431968606
fs2,8-month horizon,pooled,0.4483441522719771,0.7947342759629449,0.57,0.7260345431968606
fs2,8-month horizon,pooled,0.435911541423699,0.8002423752777217,0.58,0.7260345431968606
fs2,8-month horizon,pooled,0.4232038728132908,0.8058872826314687,0.59,0.7260345431968606
fs2,8-month horizon,pooled,0.40956100781164045,0.8117980590993349,0.6,0.7260345431968606
fs2,8-month horizon,pooled,0.3949829464187479,0.8155383916401635,0.61,0.7260345431968606
